Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,CLASE,MARCA,LINEA,MODELO,COLOR,Cantidad
19/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,10:00:00,EL AMPARO E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,27,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,CAMIONETA,JAC,HFC1035K,2014,BLANCO,1
19/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,21:00:00,PERDOMO E-19,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,32,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,AUTOMOVIL,MAZDA,323,1992,ROJO,1
19/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,19:00:00,URB. MARRUECOS E-18,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,64,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,11001000,AUTOMOVIL,MAZDA,323,1988,ROJO,1
19/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,14:00:00,GRAN GRANADA E-10,URBANA,BAHIA,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,32,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SUPERIOR,11001000,CAMPERO,CHEVROLET,TROOPER DLX,1990,GRIS,1
19/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,22:30:00,EL CHARCO I E-9,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,TECNICO,11001000,CAMIONETA,MAZDA,BT 50,2015,BLANCO,1
19/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,18:30:00,ALAMOS SUR E-10,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,54,MASCULINO,VIUDO,COLOMBIA,INDEPENDIENTE,-,SUPERIOR,11001000,CAMPERO,DAIHATSU,FEROZA F300 LG,1994,VINOTINTO,1
19/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,0:30:00,UNIR II E-10,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,35,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,11001000,AUTOMOVIL,CHEVROLET,SPARK,2015,ROJO,1
19/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,9:30:00,CORABASTOS E-8,URBANA,VIAS PUBLICAS,ESCOPOLAMINA,A PIE,CONDUCTOR VEHICULO,64,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,CAMIONETA,CHEVROLET,LUV-TFS,1997,ROJO,1
19/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,20:15:00,SANTA CECILIA E-9,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,51,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,TECNICO,11001000,AUTOMOVIL,VOLKSWAGEN,VOYAGE COMFORTLINE,2017,ROJO,1
19/05/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,1:20:00,CASA BLANCA E-11,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,37,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,AUTOMOVIL,CHEVROLET,SPARK,2018,ROJO,1
19/05/2018,GUAJIRA,RIOHACHA (CT),Sábado,14:30:00,LAS TUNAS,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO VEHICULO,CONDUCTOR VEHICULO,18,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADA,PRIMARIA,44001000,AUTOMOVIL,MAZDA,1.6 SEDÁN AUT,2003,NEGRO,1
19/05/2018,META,VILLAVICENCIO (CT),Sábado,7:00:00,LA ESPERANZA VII ETAPA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,60,FEMENINO,VIUDO,-,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,50001000,CAMIONETA,TOYOTA,HILUX,2013,PLATEADO,1
19/05/2018,NARIÑO,SAPUYES,Sábado,9:00:00,CGTO EL ESPINO,RURAL,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,34,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,52720000,AUTOMOVIL,CHEVROLET,CHEVETTE,1990,MARRON,1
19/05/2018,VALLE,CALI (CT),Sábado,16:00:00,URBANIZACION LA FLORA E2,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,40,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SUPERIOR,76001000,AUTOMOVIL,KIA,PICANTO,2010,PLATA,1
19/05/2018,VALLE,CALI (CT),Sábado,17:30:00,ALFEREZ REAL E18,URBANA,BAHIA,LLAVE MAESTRA,A PIE,A PIE,36,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,76001000,AUTOMOVIL,HYUNDAI,i 10,2011,BLANCO,1
19/05/2018,VALLE,CANDELARIA,Sábado,14:00:00,CGTO VILLAGORGONA,RURAL,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,34,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,76130000,MICROBUS,MERCEDES BENZ,SPRINTER 413,2011,ROJO - BLANCO,1
19/05/2018,VALLE,EL CERRITO,Sábado,10:58:00,EL CENTRO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,36,MASCULINO,CASADO,COLOMBIA,COMERCIANTE,-,SUPERIOR,76248000,AUTOMOVIL,MAZDA,323 HE,1995,GRIS,1
20/05/2018,ANTIOQUIA,BELLO,Domingo,21:27:00,CIUDADELA DEL NORTE,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,48,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5088000,VOLQUETA,INTERNATIONAL,SIN LINEA,2009,BLANCO,1
20/05/2018,ANTIOQUIA,ITAGUI,Domingo,3:00:00,SIMON BOLIVAR,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,72,MASCULINO,CASADO,COLOMBIA,NO REPORTA,-,SECUNDARIA,5360000,AUTOMOVIL,RENAULT,R 9 BRIO,1996,VERDE,1
