"","Fecha","Departamento","Municipio","Día","Hora","Barrio","Zona","Clase.de.sitio","Arma.empleada","Móvil.Agresor","Móvil.Victima","Edad","Sexo","Estado.civil","País.de.nacimiento","Clase.de.empleado","Profesión","Escolaridad","CLASE","MARCA","LINEA","MODELO","COLOR","Mes","Dia.Mes","Hora.dia"
"7276",2018-09-27,"ANTIOQUIA","MEDELLÍN (CT)","Jueves","8:30:00","CRISTO REY C-15","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","CONDUCTOR VEHICULO",38,"FEMENINO","CASADO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SUPERIOR","AUTOMOVIL","RENAULT","SANDERO GT LINE",2014,"BLANCO",9,27,8
"7278",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","21:00:00","URB. TORRELI E-19","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",30,"MASCULINO","UNION LIBRE","COLOMBIA","EMPLEADO POLICIAL","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","CHEVROLET","SAIL",2017,"GRIS",9,27,21
"7279",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","14:00:00","SAN VICENTE FERRER E-6","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","CONDUCTOR VEHICULO",20,"MASCULINO","SOLTERO","COLOMBIA","DESEMPLEADO","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","CHEVROLET","SPARK",2016,"ROJO",9,27,14
"7280",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","21:30:00","URB. LAS LOMAS E-4","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","A PIE",36,"FEMENINO","SOLTERO","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","SUPERIOR","AUTOMOVIL","HYUNDAI","I10GL",2013,"PLATA",9,27,21
"7281",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","22:30:00","GRANADA NORTE E-11","URBANA","VIAS PUBLICAS","ARMA DE FUEGO","A PIE","CONDUCTOR VEHICULO",35,"MASCULINO","UNION LIBRE","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SECUNDARIA","CAMPERO","JEEP","WRANGLER SPORT",2015,"ROJO",9,27,22
"7282",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","3:00:00","CANDELARIA LA NUEVA I SECTOR E-19","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","CONDUCTOR VEHICULO",53,"MASCULINO","UNION LIBRE","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","PRIMARIA","AUTOMOVIL","MAZDA","323",1988,"BLANCO",9,27,3
"7283",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","4:00:00","VILLA SAGRARIO E-10","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","CONDUCTOR VEHICULO",29,"MASCULINO","UNION LIBRE","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","TECNOLOGO","AUTOMOVIL","HYUNDAI","I10GL",2012,"AZUL",9,27,4
"7284",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","6:30:00","SAN ANTONIO E-15","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",33,"MASCULINO","CASADO","COLOMBIA","EMPLEADO POLICIAL","DESCONOCIDO","TECNICO","AUTOMOVIL","CHEVROLET","SPARK",2016,"GRIS",9,27,6
"7285",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","21:40:00","CASTILLA LA NUEVA E-8","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","CONDUCTOR VEHICULO",28,"MASCULINO","UNION LIBRE","COLOMBIA","EMPLEADO PARTICULAR","DESCONOCIDO","TECNOLOGO","AUTOMOVIL","CHEVROLET","SPARK",2015,"PLATA",9,27,21
"7286",2018-09-27,"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves","20:15:00","PERDOMO E-19","URBANA","VIAS PUBLICAS","LLAVE MAESTRA","A PIE","A PIE",47,"FEMENINO","SOLTERO","COLOMBIA","INDEPENDIENTE","DESCONOCIDO","SECUNDARIA","AUTOMOVIL","CHEVROLET","SPARK",2018,"ROJO",9,27,20
